"google","gcid","infogroup","acxiom","localeze","factual","foursquare","superpages","elocal","botw","bing","citygrid","thomsonlocal","centralindex","navads","gmb","judysbook","apple","synup"
"Truck Dealer","gcid:truck_dealer","truck-dealers","truck dealers","truck dealers new trucks","automotive,car dealers and leasing","car dealership","truck dealers","truck dealers","truck dealers & parts","truck dealers","truck trailer dealers","car dealers","car dealers","truck dealer","truck dealer","Truck Dealer","Car Dealers","Car Dealers"
"Truck Rental Agency","gcid:truck_rental_agency","truck renting & leasing","truck renting & leasing","truck renting & leasing","transportation,taxi and car services,car and truck rentals","rental car location","truck rental","truck rental","truck renting & leasing","truck rentals","truck rentals","car rental","van and truck hire","truck rental agency","truck rental agency","Truck Rental Agency","RV Rental","RV Rental"
"Truck Repair Shop","gcid:truck_repair_shop","repair shops & related services nec","truck repairing & service","truck repair & service","automotive,maintenance and repair","automotive shop","trucks service & repair","auto repair & service","truck repair & service","truck repair shop","truck repair","garage mechanics","car servicing and repair","truck repair shop","truck repair shop","Truck Repair Shop","Auto Repair","Auto Repair"
"Truck Stop","gcid:truck_stop","truck stops & plazas","truck stops","truck stops","transportation,gas stations","gas station / garage","truck stops","gas & service stations","truck stops","truck stops","truck stops & plazas","car transportation","petrol service stations","truck stop","truck stop","Truck Stop","Service Stations","Gas & Service Stations"
"Truck Topper Supplier","gcid:truck_topper_supplier","truck canopies, caps & shells","toppers truck","truck caps shells & toppers","businesses and services,industrial machinery and vehicles","automotive shop","truck caps & tonneau covers retail","auto parts (used & new)","truck toppers","truck topper supplier","wholesale truck parts","car accessories","car accessories and parts","truck topper supplier","truck topper supplier","Truck Topper Supplier","Local Services","Consulting/Business Services"
"Truck Wash","gcid:truck_wash","truck-washing & cleaning","truck washing & cleaning","truck washing & cleaning","automotive,car wash and detail","car wash","truck washing & cleaning","truck wash","truck washing & cleaning","truck wash","truck washing","car washes","car washes","truck wash","truck wash","Truck Wash","Car Wash","Car Wash"
"Trucking Company","gcid:trucking_company","trucking","trucking companies","trucking motor freight","businesses and services,shipping, freight, and material transportation","moving target","trucking companies","transportation & parking","trucking contract hauling","trucking","trucking companies","shipping companies","van and truck hire","trucking company","trucking company","Trucking Company","Local Services","Consulting/Business Services"
"Trucking School","gcid:trucking_school","trucking","school business & vocational truck driving","schools trucking","community and government,education,driving schools","school","truck driving schools","driving schools & instructors","schools trucking","trucking school","truck driving schools","driving schools","schools","trucking school","trucking school","Trucking School","Driving Schools","Driving Schools"
"Truss Manufacturer","gcid:truss_manufacturer","trusses-construction-manufacturers","trusses construction","trusses construction","businesses and services,manufacturing","factory","construction trusses wholesale & manufacture","industrial manufacturing","trusses companies","truss manufacturer","truss manufacturers","construction contractors - general","construction contractors","truss manufacturer","truss manufacturer","Truss Manufacturer","Contractors","Contractors"
"Tunisian Restaurant","gcid:tunisian_restaurant","restaurants","tunisian restaurants","restaurants","social,food and dining,restaurants","african restaurant","african restaurants","restaurants","restaurants","tunisian restaurant","restaurants","restaurants - other","tunisian restaurant","tunisian restaurant","tunisian restaurant","Tunisian Restaurant","Restaurants","African Restaurants"
